position|id|FullName|worth_BUSD|worthChange_MUSD|Industry|Company|n_age|gender|image
1|8254|JEFF BEZOS|112.0|0.0|Technology |Amazon|54|Male|https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
2|6688|BILL GATES|90.0|-0.001|Technology |Microsoft|62|Unknown|https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
3|1904|WARREN BUFFETT|84.0|-0.002|Finance and Investments |Berkshire Hathaway|87|Male|https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
4|4168|BERNARD ARNAULT|72.0|0.0|Fashion & Retail |LVMH|69|Male|https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
5|7545|MARK ZUCKERBERG|71.0|0.0|Technology |Facebook|34|Male|https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
6|2790|AMANCIO ORTEGA|70.0|0.0|Fashion & Retail |Zara|82|Male|https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
7|8711|CARLOS SLIM HELU|67.1|0.001|Telecom |telecom|78|Male|https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
8|1066|CHARLES KOCH|60.0|0.0|Diversified |Koch Industries|82|Male|https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
9|5843|DAVID KOCH|60.0|0.0|Diversified |Koch Industries|78|Male|https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
10|1718|LARRY ELLISON|58.5|-0.001|Technology |software|73|Unknown|https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
11|9925|MICHAEL BLOOMBERG|50.0|0.0|Media & Entertainment |Bloomberg LP|76|Male|https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
12|8009|LARRY PAGE|48.8|0.0|Technology |Google|45|Male|https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
13|6204|SERGEY BRIN|47.5|0.0|Technology |Google|44|Unknown|https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
14|4090|JIM WALTON|46.4|0.0|Fashion & Retail |Walmart|70|Male|https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
