id|position|lastName|name|age|Unnamed: 0|gender|country|image|Source|worth|worthChange|realTimeWorth
8254|1.0|bEZOS|jefF BEZOS|54 years old|52|Male|None|https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097|Technology  ==> Amazon|112.0 BUSD|0.0 millions USD|
6688|2.0|gaTEs|bill GATES|62 years old|53|None|None|https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360|Technology  ==> Microsoft|90.0 BUSD|-0.001 millions USD|
1904|3.0|bUFFETT|WARREN BUffett|87 years old|54|M|United States|https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322|Finance and Investments  ==> Berkshire Hathaway|84.0 BUSD|-0.002 millions USD|
4168|4.0|aRNAULT|bernARD Arnault|69 years old|55|M|None|https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736|Fashion & Retail  ==> LVMH|72.0 BUSD|0.0 millions USD|
7545|5.0|zuckeRBERG|maRK ZUCKERBERG|1985|56|M|None|https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044|Technology  ==> Facebook|71.0 BUSD|0.0 millions USD|
2790|6.0|ortEGA|AMANCIO ORTEGa|82 years old|57|Male|None|https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019|Fashion & Retail  ==> Zara|70.0 BUSD|0.0 millions USD|
8711|7.0|slim HELU|carLOS SLIM HELU|78 years old|58|Male|None|https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990|Telecom  ==> telecom|67.1 BUSD|0.001 millions USD|
1066|8.0|koCH|chARLES Koch|82 years old|59|Male|None|https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797|Diversified  ==> Koch Industries|60.0 BUSD|0.0 millions USD|
5843|9.0|kOCH|daVID KOCH|78 years old|60|Male|United States|https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481|Diversified  ==> Koch Industries|60.0 BUSD|0.0 millions USD|
1718|10.0|ELLISON|laRRY ELLISon|73 years old|61|None|United States|https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198|Technology  ==> software|58.5 BUSD|-0.001 millions USD|
9925|11.0|blooMBErg|michaeL BLOOMBerg|76 years old|62|M|None|https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784|Media & Entertainment  ==> Bloomberg LP|50.0 BUSD|0.0 millions USD|
8009|12.0|PAGE|LARRY Page|45 years old|63|M|None|https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950|Technology  ==> Google|48.8 BUSD|0.0 millions USD|
6204|13.0|bRIN|seRGEY brin|44 years old|64|None|None|https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695|Technology  ==> Google|47.5 BUSD|0.0 millions USD|
4090|14.0|wALTOn|jim WALTON|70 years old|65|M|None|https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441|Fashion & Retail  ==> Walmart|46.4 BUSD|0.0 millions USD|
4192|15.0|wALTON|s. ROBSON WALTON|73 years old|66|M|None|https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791|Fashion & Retail  ==> Walmart|46.2 BUSD|0.0 millions USD|
1243|16.0|waLTON|aLICE WALton|68 years old|67|F|None|https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143|Fashion & Retail  ==> Walmart|46.0 BUSD|0.0 millions USD|
7481|17.0|MA|MA HUATENg|46 years old|68|M|None|https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832|Technology  ==> internet media|45.3 BUSD|0.001 millions USD|
5166|18.0|bettencouRT MEYERS|FRANCOISE BETTENcourt meyers|64 years old|69|None|None|https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849|Fashion & Retail  ==> L'Oreal|42.2 BUSD|0.0 millions USD|
6778|19.0|aMBANI|MUKESH AMBANi|61 years old|70|None|None|https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223|Energy  ==> petrochemicals, oil & gas|40.1 BUSD|0.0 millions USD|
3425|20.0|mA|jaCK ma|53 years old|71|M|None|https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389|Technology  ==> e-commerce|39.0 BUSD|0.0 millions USD|
8656|21.0|aDELSON|sHELDON ADelson|84 years old|72|M|None|https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362|Gambling & Casinos  ==> casinos|38.5 BUSD|0.0 millions USD|
3184|22.0|BALLMER|sTEVE BALlmer|62 years old|73|M|United States|https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617|Technology  ==> Microsoft|38.4 BUSD|0.0 millions USD|
4474|23.0|lI|li KA-Shing|90 years old|74|M|Hong Kong|https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661|Diversified  ==> diversified|34.9 BUSD|0.001 millions USD|
3500|24.0|HUI|hUI KA yan|59 years old|75|M|None|https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756|Real Estate  ==> real estate|30.3 BUSD|0.0 millions USD|
1569|25.0|lEE|lee shAU kee|90 years old|76|None|None|https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082|Real Estate  ==> real estate|30.3 BUSD|0.0 millions USD|
8102|26.0|wANG|WANG JIANlin|63 years old|77|Male|China|https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280|Real Estate  ==> real estate|30.0 BUSD|0.0 millions USD|
4840|27.0|albreCHT JR.|beate heistER & KARL ALBRECHt jr.|66 years old|78||Germany|https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340|Fashion & Retail  ==> supermarkets|29.8 BUSD|0.0 millions USD|
2353|28.0|kNIGHT|phIL KNIGHT|80 years old|79|M|United States|https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972|Fashion & Retail  ==> Nike|29.6 BUSD|0.0 millions USD|
2892|29.0|lemANN|JORGE PAULO LEMANN|78 years old|80|M|Brazil|https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667|Food and Beverage  ==> beer|27.4 BUSD|-672.311 millions USD|
7029|30.0|PINAULT|francOIS PINAUlt|81 years old|81|None|France|https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866|Fashion & Retail  ==> luxury goods|27.0 BUSD|0.0 millions USD|
2888|31.0|sCHAEFFLER|georg SCHAeffler|53 years old|82|M|None|https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042|Automotive  ==> auto parts|25.3 BUSD|0.0 millions USD|
4982|32.0|klaTTEN|susanNE KLatten|56 years old|83|F|None|https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236|Automotive  ==> BMW, pharmaceuticals|25.0 BUSD|0.0 millions USD|
7251|33.0|THOMSON|daVID THOMSON|61 years old|84|M|Canada|https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972|Media & Entertainment  ==> media|25.0 BUSD|0.0 millions USD|
5316|34.0|mARS|jacquelINE MARS|78 years old|85|Female|USA|https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889|Food and Beverage  ==> candy, pet food|23.6 BUSD|0.0 millions USD|
1580|35.0|MARS|JOHN MArs|82 years old|86|None|None|https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889|Food and Beverage  ==> candy, pet food|23.6 BUSD|0.0 millions USD|
6317|36.0|SAFRA|josEPH SAFRa|79 years old|87|M|None|https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502|Finance and Investments  ==> banking|23.5 BUSD|0.0 millions USD|
1045|37.0|feRREro|giovaNNI FERREro|53 years old|88|None|None|https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502|Food and Beverage  ==> Nutella, chocolates|23.0 BUSD|0.0 millions USD|
1547|38.0|maTESCHITZ|dietrICH MATESCHitz|74 years old|89|None|None|https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832|Food and Beverage  ==> Red Bull|23.0 BUSD|0.0 millions USD|
3725|39.0|DELL|michaEL DELl|53 years old|90|Male|None|https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907|Technology  ==> Dell computers|22.7 BUSD|0.0 millions USD|
5408|40.0|SON|masayoSHI son|60 years old|91|Male|Japan|https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334|Telecom  ==> internet, telecom|22.7 BUSD|0.0 millions USD|
2626|41.0|DASSAULT|seRGE DASSault|93 years old|92|None|None|https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816|Diversified  ==> diversified|22.6 BUSD|nan millions USD|
9028|42.0|quANDT|steFAN QUANDT|52 years old|93|M|None|https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743|Automotive  ==> BMW|22.0 BUSD|0.0 millions USD|
2658|43.0|YANG|yANG HUIyan|1983|94|F|None|https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602|Real Estate  ==> real estate|21.9 BUSD|0.0 millions USD|
5955|44.0|alLEn|paul ALlen|65 years old|95|M|None|https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601|Technology  ==> Microsoft, investments|21.7 BUSD|0.0 millions USD|
9165|45.0|del VECCHIO|leonaRDO DEL VEcchio|83 years old|96|M|None|https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440|Fashion & Retail  ==> eyeglasses|21.2 BUSD|0.006 millions USD|
6599|46.0|scHWARZ|dietER SCHWArz|78 years old|97|Male|Germany|https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440|Fashion & Retail  ==> retail|20.9 BUSD|0.0 millions USD|
7556|47.0|peTERFFy|thomAS PETERFFY|73 years old|98|M|United States|https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839|Finance and Investments  ==> discount brokerage|20.3 BUSD|0.0 millions USD|
6663|48.0|albRECHT|theo alBRECHT, jr.|67 years old|99|Male|None|https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839|Fashion & Retail  ==> Aldi, Trader Joe's|20.2 BUSD|0.0 millions USD|
3775|49.0|blAVATnik|lEN BLAVATNik|61 years old|100|None|USA|https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299|Diversified  ==> diversified|20.2 BUSD|-0.001 millions USD|
7781|50.0|HE|he xiANGJIan|75 years old|101|M|China|https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404|Manufacturing  ==> home appliances|20.1 BUSD|0.001 millions USD|
1743|51.0|LUI|lui cHE Woo|89 years old|102|Male|None|https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168|Gambling & Casinos  ==> casinos|20.1 BUSD|0.0 millions USD|
2708|52.0|simONS|JAMES SImons|80 years old|103|Male|United States|https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190|Finance and Investments  ==> hedge funds|20.0 BUSD|0.0 millions USD|
8876|53.0|sY|HENRY SY|93 years old|104|M|None|https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647|Diversified  ==> diversified|20.0 BUSD|0.0 millions USD|
6621|54.0|MUSK|ELON Musk|46 years old|105|M|United States|https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159|Automotive  ==> Tesla Motors|19.9 BUSD|0.0 millions USD|
1393|55.0|HINDUJA|hiNDUJA Family||106|None|None|https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165|Diversified  ==> diversified|19.5 BUSD|0.001 millions USD|
7843|56.0|yaNAi|tadaSHI YAnai|69 years old|107|M|None|https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501|Fashion & Retail  ==> fashion retail|19.5 BUSD|0.0 millions USD|
6273|57.0|liSIN|vladiMIR LISIN|62 years old|108|Male|None|https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012|Metals & Mining  ==> steel, transport|19.1 BUSD|0.0 millions USD|
2247|58.0|pOWELL Jobs|lAURENE POWELL JOBS|54 years old|109|F|United States|https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333|Philanthropy/NGO  ==> Apple, Disney|18.8 BUSD|0.0 millions USD|
7060|59.0|pREMJi|aziM PREMJi|72 years old|110|M|India|https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592|Technology  ==> software services|18.8 BUSD|0.0 millions USD|
